track,frame_idx,instance.score,Base_NT.x,Base_NT.y,Base_NT.score,IN1_NT.x,IN1_NT.y,IN1_NT.score,IN2_NT.x,IN2_NT.y,IN2_NT.score,IN3_NT.x,IN3_NT.y,IN3_NT.score,L1.x,L1.y,L1.score,L2.x,L2.y,L2.score,L3.x,L3.y,L3.score
,23,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3530.172487218966,910.8341048470415,,2643.1757066925065,596.2030388287749,,3159.777362573923,619.97004521692,
,103,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3512.691455352502,919.574620780274,,2631.5216854481987,584.5490175844654,,3142.2963307074588,619.97004521692,
,183,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3515.604960663579,910.8341048470415,,2631.5216854481987,572.8949963401556,,3142.2963307074588,614.1430345947654,
,263,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3518.5184659746556,902.0935889138091,,2637.348696070353,558.3274697847687,,3142.2963307074588,614.1430345947654,
,343,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3521.4319712857323,896.2665782916547,,2634.4351907592772,564.1544804069235,,3133.555814774225,637.4510770833842,
,424,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3521.4319712857323,896.2665782916547,,2640.2622013814325,572.8949963401556,,3130.642309463148,608.3160239726108,
,505,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3521.4319712857323,884.6125570473455,,2646.089212003586,567.0679857180007,,3113.161277596684,587.9214867950689,
,584,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3518.5184659746556,875.8720411141135,,2631.5216854481987,561.2409750958459,,3110.2477722856056,544.2189071289076,
,664,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3518.5184659746556,875.8720411141135,,2651.9162226257404,526.2789113629171,,3116.074782907761,485.94880090736,
,744,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3518.5184659746556,875.8720411141135,,2651.9162226257395,508.79787949645265,,3151.036846640689,442.24622124119924,
,824,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3518.5184659746556,875.8720411141135,,2663.57024387005,508.79787949645265,,3139.38282539638,424.76518937473475,
,904,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3518.5184659746556,875.8720411141135,,2657.7432332478948,505.88437418537524,,3151.036846640691,421.85168406365756,
,984,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3512.6914553525003,864.2180198698043,,2657.7432332478948,491.31684762998816,,3139.382825396382,421.85168406365756,
,1064,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3512.6914553525003,864.2180198698043,,2657.7432332478948,491.31684762998816,,3139.382825396382,421.85168406365756,
,1144,,3102.770105573307,935.0635793958181,,3113.10184644748,879.4723242899181,,3106.793657853126,786.2401543354417,,3113.920518010944,685.509621067878,,3512.6914553525003,864.2180198698043,,2669.3972544922035,497.143858252143,,3139.382825396382,421.85168406365756,
